Date;Stock;Open;High;Low;Close;Resist;Support;GSLine;Trend
2020/07/14;KRAS;356,00;382,00;346,00;362,00;292,00;276,00;U;Strong Uptrend
2020/07/14;KREN;136,00;136,00;128,00;128,00;142,00;135,00;D;Downtrend
2017/12/27;LAMI;368,00;368,00;368,00;368,00;368,00;368,00;N;Strong Uptrend
2020/07/14;LAND;232,00;234,00;208,00;208,00;250,00;208,00;D;Strong Downtrend
2020/07/14;LAPD;50,00;50,00;50,00;50,00;50,00;50,00;N;Strong Uptrend
2020/07/14;LCGP;114,00;114,00;114,00;114,00;114,00;114,00;N;Strong Uptrend
2020/07/14;LCKM;332,00;360,00;332,00;360,00;370,00;366,00;U;Uptrend
2020/07/14;LEAD;50,00;50,00;50,00;50,00;50,00;50,00;N;Strong Uptrend
2020/07/14;LIFE;7100,00;7100,00;7100,00;7100,00;7250,00;6300,00;D;Strong Uptrend
2020/07/14;LINK;2010,00;2160,00;2010,00;2060,00;2400,00;2160,00;D;Strong Downtrend
2020/07/14;LION;340,00;356,00;340,00;356,00;498,00;286,00;D;Strong Uptrend
2020/07/14;LMAS;50,00;51,00;50,00;50,00;65,00;63,00;D;Downtrend
2020/07/14;LMPI;76,00;80,00;76,00;80,00;83,00;76,00;U;Strong Downtrend
2020/07/14;LMSH;318,00;318,00;288,00;310,00;300,00;280,00;U;Strong Uptrend
2020/07/14;LPCK;820,00;830,00;810,00;810,00;875,00;845,00;D;Uptrend
2020/07/14;LPGI;3800,00;3800,00;3780,00;3780,00;3800,00;3750,00;D;Uptrend
2020/07/14;LPIN;252,00;252,00;238,00;238,00;274,00;220,00;D;Strong Uptrend
2020/07/14;LPKR;155,00;156,00;149,00;150,00;170,00;161,00;D;Downtrend
2020/07/14;LPLI;76,00;76,00;76,00;76,00;76,00;76,00;D;Strong Uptrend
2020/07/14;LPPF;1415,00;1435,00;1380,00;1385,00;1460,00;1550,00;D;Downtrend
2020/07/14;LPPS;78,00;78,00;75,00;77,00;83,00;75,00;D;Uptrend
2020/07/14;LRNA;138,00;138,00;137,00;138,00;140,00;130,00;U;Strong Downtrend
2020/07/14;LSIP;880,00;890,00;865,00;890,00;890,00;845,00;U;Strong Uptrend
2020/07/14;LTLS;440,00;440,00;430,00;440,00;442,00;430,00;D;Uptrend
2020/07/14;LUCK;314,00;314,00;308,00;312,00;328,00;308,00;U;Strong Downtrend
2020/07/14;MABA;50,00;50,00;50,00;50,00;50,00;50,00;N;Strong Uptrend
2020/07/14;MAGP;50,00;50,00;50,00;50,00;50,00;50,00;N;Strong Uptrend
2020/07/14;MAIN;635,00;635,00;615,00;625,00;635,00;565,00;U;Strong Uptrend
2020/07/14;MAMI;50,00;50,00;50,00;50,00;50,00;50,00;U;Strong Uptrend
2020/07/14;MAMIP;600,00;600,00;600,00;600,00;600,00;600,00;N;Strong Uptrend
2020/07/14;MAPA;2280,00;2310,00;2160,00;2200,00;2610,00;2450,00;D;Downtrend
2020/07/14;MAPB;1450,00;1450,00;1450,00;1450,00;1500,00;1440,00;D;Strong Downtrend
2020/07/14;MAPI;725,00;725,00;700,00;700,00;745,00;705,00;D;Downtrend
2020/07/14;MARI;54,00;54,00;51,00;51,00;67,00;51,00;U;Strong Downtrend
2020/07/14;MARK;780,00;815,00;745,00;795,00;492,00;655,00;U;Strong Uptrend
2020/07/14;MASA;580,00;580,00;580,00;580,00;610,00;530,00;D;Strong Uptrend
2020/07/14;MAYA;6500,00;6500,00;6500,00;6500,00;6500,00;6500,00;D;Uptrend
2020/07/14;MBAP;1650,00;1705,00;1650,00;1690,00;1780,00;1630,00;U;Strong Uptrend
2020/07/14;MBSS;360,00;414,00;356,00;384,00;350,00;316,00;U;Strong Uptrend
2020/07/14;MBTO;64,00;86,00;64,00;79,00;69,00;62,00;U;Uptrend
2020/07/14;MCAS;1915,00;2030,00;1910,00;2030,00;1850,00;1750,00;U;Strong Uptrend
2020/07/14;MCOR;151,00;155,00;146,00;149,00;141,00;137,00;U;Strong Uptrend
2020/07/14;MDIA;50,00;50,00;50,00;50,00;50,00;50,00;U;Strong Uptrend
2020/07/14;MDKA;1530,00;1540,00;1495,00;1510,00;1555,00;1360,00;U;Strong Uptrend
2020/07/14;MDKI;158,00;158,00;148,00;149,00;149,00;127,00;U;Uptrend
2020/07/14;MDLN;55,00;55,00;55,00;55,00;55,00;55,00;U;Strong Downtrend
2020/07/14;MDRN;50,00;50,00;50,00;50,00;50,00;50,00;N;Strong Uptrend
2020/07/14;MEDC;462,00;466,00;458,00;460,00;484,00;460,00;D;Downtrend
2020/07/14;MEGA;6200,00;6200,00;6200,00;6200,00;6350,00;6300,00;D;Strong Downtrend
2020/07/14;MERK;3110,00;3450,00;3100,00;3370,00;3000,00;2740,00;U;Strong Uptrend
2020/07/14;META;110,00;111,00;109,00;109,00;114,00;107,00;D;Uptrend
2020/07/14;MFIN;975,00;1005,00;975,00;985,00;1125,00;850,00;U;Uptrend
2020/07/14;MFMI;515,00;520,00;510,00;520,00;520,00;488,00;U;Neutral
2020/07/14;MGNA;50,00;50,00;50,00;50,00;50,00;50,00;N;Strong Uptrend
2020/07/14;MGRO;690,00;690,00;675,00;675,00;695,00;665,00;D;Downtrend
2020/07/14;MICE;308,00;310,00;300,00;302,00;318,00;300,00;D;Strong Downtrend
2020/07/14;MIDI;1405,00;1450,00;1405,00;1450,00;1410,00;1405,00;U;Strong Uptrend
2020/07/14;MIKA;2290,00;2330,00;2270,00;2280,00;2480,00;2210,00;D;Uptrend
